latitude,longitude,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
-6.2851,-59.85,2,378.49,0.08,5.75,36.62,1.04,19.55,17.62,0.01
78.6377,-19.1439,5,325.56,0.01,9.85,11.4,2.29,16.98,14.66,0.05
61.1996,-41.1861,1,269.3,0.1,11.45,42.22,2.02,22.51,20.92,0.04
-39.9526,83.2356,1,114.74,0.03,18.05,50.68,2.14,20.88,13.77,0.1
-80.6974,-126.4665,5,116.48,0.05,12.04,11.67,2.29,8.9,16.5,0.09
-63.4541,95.2977,5,339.28,0.03,10.2,35.28,1.6,10.69,12.91,0.18
-55.0029,-177.505,4,382.78,0.07,9.69,53.56,2.2,24.97,27.45,0.01
39.4125,153.6768,1,309.56,0.03,4.45,53.94,0.33,12.24,25.43,0.14
-6.541,100.4585,2,126.46,0.08,11.88,11.63,2.04,16.52,26.35,0.04
-6.776,-144.7257,5,133.37,0.06,2.56,50.35,2.63,16.72,27.1,0.15
-20.1068,155.3446,5,156.65,0.01,12.44,17.98,0.98,21.39,29.93,0.11
-26.5022,10.3013,1,246.51,0.05,8.43,38.83,1.54,21.05,17.62,0.11
-6.2728,154.9822,3,200.69,0.02,1.93,39.65,1.32,21.48,28.08,0.17
-76.0414,-176.9383,1,354.68,0.04,5.93,33.36,1.13,7.47,9.22,0.12
-34.4137,145.4846,4,317.48,0.06,14.3,15.06,2.04,9.09,19.49,0.12
-58.9859,-89.8677,1,223.6,0.07,7.88,19.05,0.76,8.13,17.41,0.07
49.3061,-80.3788,1,171.8,0.06,6.74,37.7,1.51,8.75,9.33,0.08
53.6746,-42.4171,1,339.17,0.09,11.28,29.56,0.96,12.47,29.51,0.04
-51.5816,-160.807,1,370.93,0.09,5.29,19.3,1.31,5.12,29.94,0.07
24.3006,-72.3427,1,165.5,0.03,13.95,24.01,1.13,9.1,21.5,0.05
49.2516,15.8851,1,324.3,0.02,18.68,12.62,1.73,5.51,27.95,0.03
56.7267,65.9063,4,274.62,0.03,15.28,27.47,0.22,8.53,8.85,0.17
47.1325,69.6884,4,233.35,0.02,1.74,40.23,0.75,22.48,16.43,0.11
14.4837,-25.7477,3,144.81,0.05,2.86,21.02,0.95,18.79,6.82,0.03
-36.8175,-161.0573,2,137.46,0.07,6.28,30.01,0.95,20.14,25.8,0.02
23.8793,86.5481,2,322.74,0.01,14.73,27.43,1.15,11.9,22.07,0.13
0.8379,-14.1202,1,311.85,0.05,3.61,20.66,1.17,23.47,7.73,0.16
-13.9826,-17.3108,2,184.61,0.06,13.76,54.3,2.75,19.2,14.92,0.13
13.5261,-94.6536,4,159.99,0.08,11.95,38.36,2.99,5.51,22.28,0.04
-78.9244,-41.8254,2,148.75,0.05,2.61,42.89,1.02,6.49,19.12,0.02
30.7306,177.4061,2,240.3,0.07,6.88,31.91,1.13,20.58,14.38,0.02
-20.8941,-50.6988,2,334.72,0.01,17.76,26.76,1.11,24.48,28.25,0.11
-23.4276,-23.9944,4,168.23,0.05,16.66,44.24,1.34,7.83,24.48,0.19
17.3494,-16.8387,1,146.07,0.02,12.72,16.99,1.07,7.03,8.58,0.06
-38.0933,174.5396,1,212.77,0.06,3.08,26.24,1.46,10.67,27.52,0.03
-64.0701,114.8198,1,312.6,0.04,7.7,15.54,1.6,7.65,12.64,0.03
-53.5105,0.4065,4,384.99,0.09,18.65,59.66,2.04,13.83,6.95,0.13
-63.4295,-32.1678,2,125.86,0.06,4.12,59.02,2.94,11.21,29.71,0.16
35.2443,32.8564,3,380.08,0.09,1.01,45.17,1.25,12.5,10.26,0.17
50.1063,-79.4529,5,197.14,0.04,4.44,57.11,0.33,7.51,28.99,0.12
56.2298,166.6804,3,183.99,0.07,3.82,25.41,2.79,9.43,12.66,0.09
-52.9019,-172.9829,1,291.13,0.03,15.19,45.71,0.58,12.08,15.84,0.13
-21.4412,-15.3765,5,124.29,0.05,1.06,23.52,1.63,7.55,22.75,0.11
58.527,58.7336,5,346.97,0.06,2.18,10.85,2.85,16.55,13.99,0.08
28.8073,130.972,2,314.18,0.06,19.6,42.21,1.99,10.11,8.2,0.12
-81.8553,-163.942,3,201.82,0.07,11.72,30.01,1.26,15.24,27.26,0.16
73.285,-83.0876,5,292.49,0.1,5.79,13.14,2.5,24.57,16.26,0.2
-3.95,75.2566,2,279.32,0.07,16.62,53.15,1.92,19.76,7.32,0.11
55.963,-151.7796,5,299.12,0.08,1.46,17.75,1.98,15.28,24.43,0.07
-89.793,3.6989,2,278.01,0.05,1.15,49.08,2.89,15.52,26.22,0.1
70.2166,-67.9749,5,306.82,0.03,16.98,22.87,2.31,17.46,24.42,0.18
7.8066,-47.6946,2,362.24,0.05,10.0,59.29,0.73,21.88,18.46,0.16
-25.5748,138.9067,2,274.99,0.06,15.98,50.07,1.63,5.65,22.3,0.19
-68.6637,-152.3578,1,195.84,0.1,11.33,40.5,1.56,8.87,14.15,0.15
26.6373,-46.9506,4,297.2,0.05,9.89,24.49,2.17,15.15,26.26,0.2
82.144,-103.5917,2,263.05,0.08,1.17,10.72,1.8,10.39,22.86,0.11
-7.0419,62.1684,3,207.43,0.06,9.53,54.51,0.29,5.68,14.19,0.06
80.5559,-151.1946,2,108.3,0.04,8.92,25.77,2.68,14.04,24.23,0.07
14.0895,-35.0672,5,323.31,0.05,15.74,59.09,0.98,14.3,25.09,0.09
-88.1532,17.6088,3,371.45,0.07,11.72,49.88,2.48,17.51,27.13,0.02
87.4321,-127.3668,4,191.4,0.07,11.79,36.71,2.63,12.28,25.79,0.04
-14.1081,-61.5443,1,166.25,0.09,14.63,44.73,0.35,14.87,21.52,0.18
29.6116,-45.7936,3,169.29,0.08,4.14,20.93,1.09,7.28,25.15,0.17
55.8253,-24.3934,1,162.2,0.01,7.28,22.63,2.36,9.4,14.92,0.14
-48.145,-7.8265,4,167.11,0.05,6.77,47.79,0.61,6.42,29.37,0.16
33.3409,-174.5961,4,352.65,0.08,6.75,24.47,0.18,5.51,25.1,0.13
10.6037,11.7735,5,299.59,0.09,18.53,14.64,2.9,23.95,15.16,0.19
-37.4808,-146.4405,1,288.33,0.06,3.87,51.66,0.5,19.27,24.07,0.05
-25.2664,121.6235,4,272.7,0.08,5.51,53.19,0.23,17.06,10.82,0.11
-43.9781,-113.686,4,316.25,0.08,7.08,45.64,1.67,5.8,25.07,0.05
-6.6094,-172.7738,4,266.11,0.04,17.05,30.07,2.43,13.74,8.69,0.05
47.0572,41.3926,4,373.52,0.02,17.74,11.69,2.54,20.36,17.52,0.16
-41.46,-55.1358,2,166.21,0.07,16.98,33.15,0.16,20.55,20.17,0.1
70.9443,-13.8967,1,117.22,0.09,18.3,33.63,0.86,21.83,8.4,0.09
-19.1357,-36.7249,1,181.45,0.06,9.25,56.4,1.21,24.13,25.16,0.19
-75.581,75.6067,3,275.45,0.01,12.44,14.86,2.67,12.53,19.87,0.19
17.5868,45.0501,4,193.16,0.08,5.31,24.79,0.37,8.92,23.6,0.15
-28.1571,23.8436,2,174.55,0.06,19.55,41.22,2.37,8.44,17.59,0.07
33.192,59.8656,4,185.27,0.07,18.37,13.87,0.97,22.38,9.19,0.04
-31.2346,-101.0006,3,332.92,0.06,12.91,39.08,1.6,23.43,18.76,0.08
61.431,-89.4582,2,365.91,0.03,19.96,57.34,0.41,5.36,21.98,0.04
-8.2864,18.4384,5,211.53,0.05,8.17,45.85,1.27,6.88,19.63,0.06
-7.7631,16.9689,1,255.45,0.07,13.92,34.84,1.81,9.13,23.97,0.05
5.9858,174.0596,3,324.64,0.02,12.93,49.91,2.13,9.98,6.83,0.05
54.973,-41.2566,3,364.26,0.06,10.92,25.54,2.61,9.26,9.98,0.14
-34.2965,-56.1019,4,324.17,0.01,1.77,24.37,0.74,14.03,28.88,0.03
24.582,84.8862,1,380.74,0.07,9.36,25.93,1.82,17.88,7.05,0.13
65.8259,-6.6719,5,107.32,0.05,2.55,56.28,2.6,16.18,20.77,0.05
-45.6184,-12.8939,5,386.87,0.09,18.61,48.12,2.17,19.41,15.36,0.18
-38.6626,110.794,3,192.57,0.09,6.67,14.41,2.89,24.45,14.99,0.14
60.0796,-163.7438,4,280.57,0.01,14.28,31.08,1.21,24.33,19.48,0.02
89.1596,-75.5127,1,124.24,0.03,3.02,45.81,2.52,5.25,26.47,0.16
38.557,154.0953,5,142.75,0.1,13.75,36.27,2.4,15.55,24.28,0.12
-30.0395,-76.1178,1,294.92,0.08,11.14,50.37,2.95,14.38,20.44,0.15
-75.0768,-33.4503,2,372.34,0.04,12.34,32.84,0.55,15.6,12.02,0.02
72.746,112.2281,2,147.84,0.03,14.44,57.85,0.78,10.04,14.98,0.06
83.9741,-165.3501,1,134.68,0.09,12.56,15.96,2.16,23.13,27.44,0.14
-34.191,-111.6186,4,163.93,0.04,6.22,43.71,2.94,12.25,21.73,0.06
89.4315,-179.9942,2,272.78,0.02,12.48,48.68,2.9,14.14,29.82,0.02
21.263,-11.595,3,383.94,0.03,4.46,40.31,1.89,19.38,19.3,0.16
7.2062,118.4454,2,304.78,0.02,11.43,20.79,1.87,5.77,18.44,0.04
9.2289,-144.0593,3,204.11,0.05,17.05,48.59,0.59,16.46,19.72,0.02
-18.6797,-104.4348,2,221.5,0.09,18.9,24.11,0.66,5.33,14.05,0.17
9.7989,38.4571,5,167.31,0.1,4.35,22.62,1.67,7.38,16.9,0.14
-64.6457,-147.4549,1,205.74,0.07,8.58,31.59,2.33,16.14,28.27,0.2
89.677,39.5907,1,153.61,0.07,12.43,12.46,1.09,13.19,26.65,0.06
-13.6953,111.0664,4,253.18,0.09,16.33,13.84,0.11,6.05,20.81,0.05
-43.6805,91.4495,1,360.44,0.06,13.05,49.1,2.11,18.5,11.22,0.19
80.599,-59.1621,3,250.53,0.02,8.76,23.49,2.81,10.77,14.71,0.17
-3.0264,116.9038,1,348.85,0.06,2.46,39.9,0.93,7.98,11.18,0.06
-76.3451,-93.1513,3,222.85,0.02,17.25,52.49,1.04,19.01,11.57,0.15
49.1956,-88.2463,5,158.83,0.08,5.02,21.77,1.17,17.51,23.58,0.11
72.4095,108.9275,3,391.54,0.04,17.05,11.05,1.86,13.42,10.75,0.01
-83.1683,-108.0831,5,235.33,0.09,11.4,46.69,0.21,19.41,14.76,0.1
18.8416,-15.6143,2,210.24,0.07,7.75,54.56,1.62,20.1,16.19,0.15
-25.8309,-139.6532,5,395.46,0.02,11.53,58.26,1.33,13.4,19.37,0.11
59.2608,39.6002,4,153.13,0.04,8.2,51.86,2.36,11.68,10.84,0.03
11.7687,168.5654,5,253.77,0.08,12.24,32.26,0.54,11.86,29.86,0.04
-48.8205,-12.7701,3,167.36,0.07,9.44,50.2,0.24,17.6,16.69,0.09
-59.3018,55.303,5,203.98,0.04,16.02,33.5,2.91,17.53,26.52,0.11
-50.8834,-46.9719,1,226.27,0.08,10.78,22.03,1.34,21.78,7.31,0.11
-87.8911,169.4014,5,393.22,0.07,18.86,28.3,1.46,6.26,28.16,0.15
-21.5612,58.0132,3,297.67,0.06,12.42,53.16,0.52,20.73,28.03,0.19
-34.9085,134.0744,5,162.96,0.01,19.68,37.38,0.36,6.4,21.97,0.14
30.4035,-44.1831,4,267.81,0.1,5.13,48.67,2.47,19.55,19.6,0.17
-47.2715,-139.5837,5,241.32,0.04,11.61,51.99,1.87,10.98,9.67,0.13
9.1975,-179.4871,1,303.15,0.05,14.96,53.43,0.88,12.25,7.65,0.14
-62.8454,53.2493,5,350.07,0.03,14.96,34.43,0.37,17.92,19.27,0.05
-44.3533,-95.659,3,101.81,0.05,2.13,11.06,0.52,22.93,23.89,0.14
69.7309,-13.0795,2,268.6,0.05,15.41,10.71,2.25,15.69,17.63,0.14
85.5787,81.1859,5,143.39,0.09,8.28,15.29,1.77,12.65,21.39,0.16
33.3226,-150.6901,4,373.97,0.03,4.98,15.27,1.12,13.82,13.59,0.04
-89.101,-63.339,2,251.6,0.03,8.6,29.9,0.97,12.22,12.91,0.13
34.0416,-68.0087,4,309.71,0.07,13.67,10.21,0.53,24.68,16.45,0.15
80.5881,18.4416,3,367.51,0.08,6.25,58.44,0.15,8.8,26.2,0.11
-24.5693,-178.1225,1,142.93,0.02,18.04,35.99,0.85,5.4,26.3,0.16
8.3112,-142.9524,1,163.19,0.04,8.04,26.17,2.7,24.96,14.95,0.03
4.6786,30.861,4,285.7,0.07,18.38,43.12,1.51,15.75,26.65,0.08
-75.133,-126.3991,1,359.1,0.03,12.35,22.12,2.44,13.46,23.06,0.05
-87.7293,140.091,1,355.67,0.04,15.75,32.39,1.43,18.11,14.54,0.05
-35.1201,-167.8156,4,140.32,0.02,8.02,12.98,2.81,6.81,15.67,0.16
-85.0811,131.2889,1,232.92,0.05,15.74,58.85,1.11,12.53,18.29,0.16
54.7979,-128.4238,5,150.82,0.01,12.87,26.84,2.76,21.51,16.47,0.1
83.2561,28.6467,3,155.64,0.06,5.04,14.51,0.43,10.56,18.64,0.07
67.161,55.3188,2,281.35,0.07,18.11,59.95,1.5,13.25,10.25,0.17
48.6844,-105.8296,1,263.96,0.04,2.44,14.25,1.28,23.1,7.86,0.01
-16.3661,-144.8799,2,232.34,0.08,4.04,30.76,0.38,13.75,23.23,0.16
62.7428,159.2848,3,247.39,0.07,1.22,33.56,0.49,5.99,28.35,0.17
-66.3706,-130.7215,2,115.21,0.05,5.18,49.11,2.35,15.03,18.53,0.13
-35.834,42.369,2,124.03,0.04,19.5,51.84,1.59,17.67,17.59,0.15
-85.5585,87.1074,5,212.28,0.06,12.4,14.31,0.37,6.69,15.8,0.03
-62.8223,-136.8954,1,388.78,0.07,17.66,55.01,0.58,22.34,8.91,0.13
-75.0659,-128.9272,4,278.38,0.07,1.69,44.42,0.31,8.12,8.48,0.11
46.4719,113.0344,2,183.24,0.06,12.36,35.94,1.29,9.73,17.65,0.1
-0.2753,-121.1641,5,395.64,0.07,14.5,37.91,2.19,12.04,12.38,0.09
-85.9594,-92.9641,2,137.72,0.06,16.57,35.16,0.65,23.64,24.72,0.09
29.6823,-114.4007,1,333.97,0.02,12.9,29.2,0.79,13.44,14.25,0.19
-69.5568,70.2132,4,375.98,0.06,11.02,47.28,1.56,21.94,21.36,0.09
-6.9361,-168.237,2,157.81,0.08,7.29,46.01,2.9,24.51,17.84,0.03
27.0063,-52.8104,3,328.4,0.05,5.92,13.24,1.94,6.49,10.74,0.17
53.6377,-8.0376,4,123.33,0.07,9.97,13.1,0.63,13.95,6.52,0.16
-21.8135,-102.4591,1,337.23,0.05,7.61,52.88,1.72,7.7,22.03,0.12
29.4817,161.4641,3,338.48,0.07,12.03,33.88,0.47,20.39,8.72,0.09
72.8054,-108.959,5,167.7,0.04,12.96,52.66,2.1,22.41,8.08,0.14
12.4826,-94.5362,5,330.71,0.01,9.65,59.12,1.14,22.19,17.37,0.12
-63.8184,-114.4791,4,230.12,0.04,8.4,14.75,0.11,20.74,14.27,0.13
-63.189,-59.6499,2,338.19,0.08,12.94,38.74,2.33,18.66,8.09,0.12
-57.2918,145.2994,3,172.05,0.04,1.86,46.31,0.43,21.5,27.63,0.11
31.8577,-113.0217,1,372.79,0.05,13.52,53.96,2.57,8.93,28.17,0.08
-37.6488,-10.0952,4,164.42,0.07,17.72,55.74,0.16,12.88,18.68,0.15
-23.6881,89.9398,5,216.48,0.04,8.2,39.55,0.66,19.33,17.01,0.06
-16.9588,-120.6755,3,203.16,0.04,11.79,11.07,1.91,9.67,18.62,0.06
17.4971,-148.8011,3,107.19,0.03,17.82,17.0,1.53,11.69,26.84,0.15
-80.131,55.0011,3,318.57,0.02,12.65,16.98,0.15,23.51,22.03,0.2
1.1488,-158.8751,2,172.57,0.05,18.02,37.65,0.5,14.54,8.8,0.15
-47.1179,45.171,1,357.79,0.03,17.54,40.17,0.48,15.43,26.77,0.19
31.3679,-68.8494,1,110.52,0.02,12.37,34.79,2.33,13.78,9.72,0.14
48.8237,-65.3079,4,302.78,0.1,16.81,30.09,2.77,6.58,8.27,0.1
43.0295,-130.4833,3,250.88,0.03,16.04,14.43,2.23,12.19,13.66,0.02
2.4504,-75.1721,4,289.92,0.03,8.35,49.87,0.89,12.97,6.02,0.02
-57.6261,115.5231,1,163.32,0.07,16.66,44.18,2.8,8.13,19.53,0.04
32.3858,-2.0652,3,252.52,0.1,16.6,20.13,0.29,8.54,12.24,0.03
-66.3228,-33.585,1,281.64,0.08,19.84,28.83,2.55,20.12,9.55,0.17
-66.2923,168.4798,4,250.38,0.08,6.41,35.23,2.47,6.57,18.72,0.02
-72.0147,-40.7075,5,196.15,0.06,3.18,32.01,2.41,5.05,10.71,0.18
-56.5302,-33.642,4,101.65,0.07,6.52,26.68,0.12,11.1,19.67,0.07
-45.798,-159.6765,1,345.7,0.09,12.76,39.78,2.12,14.59,21.34,0.08
-68.0063,-177.396,5,243.51,0.09,11.6,20.23,0.13,9.69,26.44,0.1
-35.1986,-67.699,2,341.74,0.01,18.01,30.61,2.89,6.11,11.72,0.04
36.2512,110.9169,4,297.09,0.01,10.18,45.36,1.59,8.72,18.3,0.19
53.8837,-20.6069,5,397.56,0.04,11.07,56.17,0.83,22.62,6.71,0.12
54.8726,51.5358,4,167.11,0.01,3.33,55.07,2.28,19.29,19.25,0.08
46.3973,51.0587,3,206.86,0.09,15.1,28.12,2.09,19.8,22.7,0.13
1.2132,-151.7034,3,232.41,0.08,6.44,47.2,1.27,13.54,6.98,0.08
24.641,104.2979,2,362.0,0.08,7.49,39.6,0.74,17.39,25.35,0.08
-48.4047,79.5771,3,277.26,0.06,2.54,22.8,1.33,24.49,8.1,0.15
-19.0211,8.4984,4,314.09,0.08,7.57,25.42,0.17,14.13,14.29,0.06
-26.1828,177.5369,2,122.39,0.03,3.15,39.29,0.89,24.52,14.07,0.09
73.0875,-49.4985,4,220.92,0.03,9.08,31.42,1.66,11.13,8.11,0.08
-70.7316,-35.8542,5,399.89,0.04,6.76,28.74,1.87,24.31,12.51,0.02
43.3865,15.7758,3,340.81,0.03,11.32,29.19,0.76,22.04,19.08,0.13
27.0799,124.6296,1,202.31,0.02,18.92,31.85,0.19,20.5,18.4,0.16
-69.6428,-158.1553,3,115.99,0.05,9.76,37.61,0.73,8.93,21.24,0.02
-30.6617,99.3161,2,354.98,0.02,3.22,13.91,2.03,7.6,29.23,0.11
-19.0969,-140.3279,1,239.95,0.04,1.22,13.46,0.32,14.63,19.59,0.09
-43.8047,-110.1064,2,294.74,0.09,10.47,43.82,2.1,11.19,27.4,0.07
-13.7289,4.3648,1,353.97,0.02,16.03,55.92,2.22,21.33,9.17,0.18
1.3874,170.6619,1,212.85,0.09,9.73,10.37,0.25,14.41,7.49,0.13
-8.3945,10.4684,1,227.53,0.05,5.86,14.14,1.1,20.16,11.07,0.03
-13.6532,-5.2463,2,385.38,0.09,1.75,50.32,1.55,14.42,12.28,0.11
-80.0019,25.7748,5,344.04,0.1,3.42,29.84,2.56,15.67,9.91,0.08
-39.9042,148.8722,2,399.87,0.08,13.98,55.81,2.85,17.64,11.82,0.06
39.2031,-27.4548,4,349.77,0.08,5.88,22.24,2.62,6.76,19.46,0.03
-16.1062,127.888,2,127.86,0.02,18.18,28.96,0.1,22.85,24.08,0.13
73.0695,-179.335,2,268.03,0.09,19.54,51.34,1.81,7.83,26.34,0.04
22.284,-131.849,5,234.89,0.09,18.01,38.46,1.75,24.6,21.9,0.13
-11.7162,-103.2864,2,115.98,0.06,18.27,44.88,2.58,20.17,21.09,0.09
88.436,143.3826,1,214.89,0.02,7.54,21.75,2.76,18.32,23.41,0.06
-9.767,-70.9057,1,113.98,0.05,13.77,24.18,2.06,5.06,29.18,0.12
15.3275,79.1615,5,150.2,0.04,2.64,38.51,1.54,16.43,16.1,0.11
-58.8039,27.1216,4,282.64,0.05,18.72,51.88,1.42,16.65,23.92,0.04
-61.4392,132.6966,5,308.43,0.03,3.23,24.51,0.54,14.59,8.56,0.06
-60.7688,-16.8551,1,191.42,0.1,12.45,52.83,1.37,12.93,21.0,0.17
84.9812,24.6739,2,119.17,0.03,4.19,53.72,2.95,14.07,25.62,0.02
-3.6909,4.4618,1,385.68,0.07,11.63,23.82,0.64,18.45,19.47,0.15
-74.456,1.1917,2,357.86,0.04,8.34,36.51,1.68,14.29,6.48,0.15
89.4777,-173.6493,2,218.9,0.04,18.98,14.16,1.76,15.77,9.32,0.09
-61.527,95.1035,2,147.59,0.01,13.5,11.12,0.62,23.12,16.01,0.14
-19.5869,105.762,1,144.56,0.08,11.08,25.79,0.79,18.26,13.46,0.06
42.3533,129.8196,1,194.75,0.07,16.76,19.5,2.02,10.45,13.27,0.18
-70.4739,-121.4532,5,340.61,0.02,10.03,40.85,2.16,19.29,11.39,0.14
-34.1061,31.2551,2,135.51,0.07,12.56,35.34,1.09,6.15,8.64,0.18
-13.4659,-121.341,1,125.95,0.1,2.27,44.02,2.11,6.1,6.83,0.12
-76.789,-30.3688,5,141.42,0.03,3.04,29.54,1.75,23.84,29.8,0.18
-39.832,-0.1845,3,157.22,0.09,18.77,32.17,1.38,21.97,27.45,0.14
2.8723,10.9812,3,386.27,0.07,6.37,45.77,1.36,16.94,18.05,0.12
50.6456,-107.6041,4,212.94,0.01,15.9,51.58,1.3,20.64,24.44,0.04
41.8427,159.5596,1,285.45,0.02,3.79,33.35,1.75,16.02,17.79,0.02
-53.2469,79.6356,4,381.21,0.1,7.81,33.25,1.28,6.07,7.34,0.18
62.8982,64.301,4,135.39,0.02,8.85,15.73,2.15,24.04,20.32,0.08
-67.9711,178.835,2,243.52,0.04,18.74,54.74,0.72,11.48,17.45,0.04
-11.6611,78.1707,3,287.23,0.02,14.21,15.24,2.79,9.27,13.39,0.13
-2.8478,9.2802,5,103.6,0.1,9.68,42.32,2.32,16.75,9.99,0.17
74.8878,48.9307,4,177.15,0.06,14.22,14.73,0.51,18.78,13.54,0.14
77.4342,23.1029,1,124.12,0.04,17.87,38.35,0.7,12.83,23.28,0.12
-78.549,-32.0233,2,327.69,0.02,15.93,58.85,2.54,16.21,29.35,0.15
83.2425,-34.1461,5,156.81,0.03,13.84,24.16,2.49,16.64,26.49,0.14
-52.9856,62.954,1,105.12,0.09,12.89,59.2,2.41,9.13,13.01,0.13
-12.9442,37.1215,5,299.07,0.09,12.93,49.1,1.67,13.13,7.02,0.18
-60.3086,96.0951,4,135.13,0.02,3.98,31.8,0.13,8.42,22.47,0.07
46.9472,-66.8482,1,349.09,0.05,10.7,36.37,0.59,24.05,29.08,0.14
-44.6325,-151.5592,3,384.11,0.07,17.73,38.9,1.96,20.01,26.72,0.12
-9.373,40.9441,5,216.25,0.06,1.31,21.68,0.87,23.22,12.5,0.12
-57.7888,-75.4331,1,333.0,0.07,5.1,50.85,1.1,19.49,23.9,0.11
9.6865,-111.6621,1,109.03,0.05,16.06,12.77,1.12,7.28,7.91,0.06
-35.0906,42.4211,3,396.53,0.07,7.16,27.92,1.76,22.2,28.11,0.03
47.0585,-123.3802,4,251.4,0.07,3.67,54.26,0.32,18.67,12.27,0.03
-35.345,-122.8454,3,237.42,0.02,17.83,18.04,2.44,8.41,12.55,0.09
-27.1013,48.6182,5,189.54,0.02,16.55,28.57,1.02,7.53,14.89,0.13
-81.9441,8.8546,1,207.54,0.09,16.71,11.86,1.51,5.6,24.24,0.06
67.0672,-177.0412,5,290.3,0.05,13.26,35.6,2.36,13.23,22.34,0.17
-56.1069,18.7748,3,268.72,0.08,6.43,36.43,2.73,6.59,19.62,0.13
87.7621,15.2044,3,361.92,0.08,18.22,58.31,1.31,15.95,11.06,0.14
-89.7774,65.6462,2,224.56,0.04,18.69,33.6,1.29,23.95,9.84,0.13
-51.9388,148.9464,2,117.96,0.05,13.24,11.58,1.44,10.41,28.69,0.06
77.2642,12.1134,1,323.91,0.08,19.13,19.36,1.47,5.1,19.89,0.09
39.2831,115.3093,4,394.75,0.04,4.89,54.43,0.54,11.94,18.62,0.07
-30.4058,118.775,4,142.16,0.04,7.46,25.37,2.41,17.55,13.21,0.1
-30.4491,-113.754,3,379.47,0.02,9.95,54.97,2.21,18.13,19.23,0.07
3.0153,62.9882,1,378.23,0.04,18.71,52.17,2.34,9.79,27.79,0.14
-4.4858,-17.8287,2,156.14,0.08,4.59,55.81,2.27,22.0,17.32,0.11
80.311,105.7518,1,327.54,0.05,18.3,49.84,0.39,22.58,15.14,0.04
-49.5738,-160.3543,1,128.64,0.04,15.3,49.56,2.41,23.66,24.56,0.17
-64.1559,162.6938,4,208.08,0.09,5.18,54.32,1.16,11.32,18.01,0.19
85.0948,-47.1604,1,270.04,0.06,2.74,36.89,1.35,20.89,9.94,0.02
1.9438,107.6711,2,201.61,0.1,17.26,31.97,2.15,18.83,13.61,0.19
-49.3375,-34.5107,5,109.62,0.01,8.22,53.01,0.57,15.75,29.15,0.02
30.243,108.7363,1,380.66,0.07,10.13,24.5,0.43,23.99,13.37,0.19
3.7168,-37.145,2,120.2,0.07,18.59,40.32,0.95,10.35,20.48,0.07
33.8354,18.8415,4,350.75,0.05,4.64,56.35,1.09,10.19,9.67,0.01
-44.7763,-95.4748,3,100.65,0.02,9.01,49.29,2.75,6.99,6.22,0.2
-56.4516,13.8334,1,356.55,0.02,15.79,24.74,2.06,23.15,24.28,0.02
-23.4721,-1.7884,2,338.82,0.07,2.64,26.16,0.91,13.01,8.98,0.17
-45.4743,162.8534,3,396.96,0.05,10.64,26.47,2.15,9.16,26.5,0.13
-37.4929,1.2579,3,298.75,0.08,18.54,11.2,2.2,22.34,18.3,0.14
